Invoice Number,Invoice Date,Sales Order#,Customer Name,Total with out GST,Total,Status,Salesperson Name,Account Type,Item Category
IV/BLR23-24/2362,28-12-2023,SO/BLR23-24/2860,UK SALES & SERVICES,"INR 22,210","INR 26,208",Closed,Kumar Palangappa,C3: Retailer,-No Value-
IV/BLR23-24/2363,28-12-2023,SO/BLR23-24/2841,Indian Auto Electrical Works,"INR 2,288","INR 2,700",Closed,tousiff,C1: TCP,-No Value-
IV/BLR23-24/2364,28-12-2023,SO/BLR23-24/2854,Krushna Hydraulics,"INR 19,022","INR 22,446",Overdue,Yogesh Bangde,C1: TCP,-No Value-
IV/BLR23-24/2365,28-12-2023,SO/BLR23-24/2842,SPR ENTERPRISE .,"INR 28,080","INR 33,134",Closed,Chandrika,C2: Service Workshop,-No Value-
IV/BLR23-24/2366,28-12-2023,SO/BLR23-24/2864,SHANKARANARAYANA CONSTRUCTIONS PRIVATE LIMITED,"INR 1,36,250","INR 160,775",Overdue,BHUVI,A1: Corporate,-No Value-
IV/BLR23-24/2367,28-12-2023,SO/BLR23-24/2872,Vaishnavi Enterprises,"INR 4,576","INR 5,400",Closed,tousiff,C1: TCP,-No Value-
IV/BLR23-24/2368,28-12-2023,SO/BLR23-24/2869,KHALEELAHAMAD KHANAPUR,"INR 8,052","INR 9,501",Closed,Prajwal P K,D1: Retail (Individual Owners),-No Value-
IV/BLR23-24/2369,28-12-2023,SO/BLR23-24/2870,SRI MANJUNATHA SPARES (RAMNAGARA),"INR 9,832","INR 11,602",Closed,Chetan A,C1: TCP,-No Value-
IV/BLR23-24/2370,28-12-2023,SO/BLR23-24/2866,GS Engineer-RAJEEV KUMAR,"INR 33,540","INR 39,578",Closed,Chandrika,C2: Service Workshop,-No Value-
IV/BLR23-24/2371,28-12-2023,SO/BLR23-24/2832,Sri Periyandavar And Company .,"INR 39,200","INR 46,256",Overdue,Chandrika,C2: Service Workshop,-No Value-
IV/BLR23-24/2372,29-12-2023,SO/BLR23-24/2862,SHANKARANARAYANA CONSTRUCTIONS PRIVATE LIMITED,"INR 1,15,200","INR 135,936",Overdue,Bhuvi,A1: Corporate,-No Value-
IV/BLR23-24/2373,29-12-2023,SO/BLR23-24/2873,AMMAPUR INFRASTRUCTURE PRIVATE LIMITED,"INR 2,87,798","INR 339,602",Overdue,Sangamesh,A1: Corporate,-No Value-
IV/BLR23-24/2374,29-12-2023,SO/BLR23-24/2871,Sri Mylara Agri Automobiles,"INR 37,434","INR 44,173",Overdue,AVINASH,C1: TCP,-No Value-
IV/BLR23-24/2375,29-12-2023,SO/BLR23-24/2874,D S EARTHMOVERS AND SPARE PARTS,"INR 1,38,140","INR 163,006",Overdue,Nitin,C1: TCP,-No Value-
IV/BLR23-24/2376,29-12-2023,SO/BLR23-24/2875,NAGARAJ RAJU DASHAVANT..,"INR 6,200","INR 7,316",Closed,Sangamesh,C1: TCP,-No Value-
IV/BLR23-24/2377,29-12-2023,SO/BLR23-24/2879,LYNX GREEEN VENTURES,"INR 14,725","INR 17,376",Closed,Sweta Bhende,D1: Retail (Individual Owners),-No Value-
IV/BLR23-24/2378,29-12-2023,SO/BLR23-24/2867,Pallavi Automobiles,"INR 25,000","INR 29,500",Closed,AVINASH,C1: TCP,-No Value-
IV/BLR23-24/2379,29-12-2023,SO/BLR23-24/2871,Sri Mylara Agri Automobiles,"INR 25,000","INR 29,500",Overdue,AVINASH,C1: TCP,-No Value-
IV/BLR23-24/2380,30-12-2023,SO/BLR23-24/2880,AMMAPUR INFRASTRUCTURE PRIVATE LIMITED,"INR 1,39,000","INR 164,020",Overdue,Sangamesh,A1: Corporate,-No Value-
IV/BLR23-24/2381,30-12-2023,SO/BLR23-24/2877,SHRI MANJUNATHA ENTERPRISES,"INR 1,98,300","INR 233,994",Overdue,TEJAS L,C1: TCP,-No Value-
IV/BLR23-24/2382,30-12-2023,SO/BLR23-24/2881,NAGARAJ RAJU DASHAVANT..,"INR 41,025","INR 48,409",Closed,Sangamesh,C1: TCP,-No Value-
IV/BLR23-24/2383,30-12-2023,SO/BLR23-24/2877,SHRI MANJUNATHA ENTERPRISES,"INR 73,729","INR 87,000",Overdue,TEJAS L,C1: TCP,-No Value-
IV/BLR23-24/2384,30-12-2023,SO/EXP23-24/0120,UK SALES & SERVICES,"INR 30,72,000","INR 3,624,960",Overdue,Pawan Arya,C3: Retailer,-No Value-
IV/BLR23-24/2385,30-12-2023,SO/EXP23-24/0120,UK SALES & SERVICES,"INR 30,72,000","INR 3,624,960",Overdue,Huzma Jamal,C3: Retailer,-No Value-
IV/BLR23-24/2386,30-12-2023,SO/BLR23-24/2860,UK SALES & SERVICES,"INR 4,609","INR 5,900",Closed,Kumar Palangappa,C3: Retailer,-No Value-
IV/BLR23-24/2387,31-12-2023,SO/BLR23-24/2884,UK SALES & SERVICES,"INR 61,74,000","INR 7,292,606",Closed,Huzma Jamal,C3: Retailer,-No Value-
IV/EXP23-24/0114,19-10-2023,SO/EXP23-24/0081,MAKHAVI ARABIA CONTRACTING COMPANY,"INR 16,04,191","INR 1,604,191",Overdue,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0115,19-10-2023,SO/EXP23-24/0081,MAKHAVI ARABIA CONTRACTING COMPANY,"INR 15,62,614","INR 1,562,614",Overdue,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0117,13-10-2023,SO/EXP23-24/0087,SAMA EXIM DMCC,"INR 4,11,332","INR 411,332",Closed,HARDIKA,E1: Export,-No Value-
IV/EXP23-24/0118,14-10-2023,SO/EXP23-24/0085,Khadun Construction Ltd,"INR 97,574","INR 97,574",Closed,Vatsal Raghwani,E1: Export,-No Value-
IV/EXP23-24/0120,17-10-2023,SO/EXP23-24/0090,RITCHIE BROS. AUCTIONEERS (ME) LIMITED,"INR 1,01,17,412","INR 10,117,412",Overdue,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0121,17-10-2023,SO/EXP23-24/0084,INTERMAK GROUP LLC,"INR 1,25,678","INR 125,678",Overdue,HARDIKA,E1: Export,-No Value-
IV/EXP23-24/0123,18-10-2023,SO/EXP23-24/0093,SK RENTAL SOLUTIONS LTD,"INR 5,02,839","INR 502,839",Closed,HARDIKA,E1: Export,-No Value-
IV/EXP23-24/0124,18-10-2023,SO/EXP23-24/0091,SK RENTAL SOLUTIONS LTD,"INR 53,69,630","INR 5,369,630",Overdue,HARDIKA,E1: Export,-No Value-
IV/EXP23-24/0125,27-10-2023,SO/EXP23-24/0096,MAKHAVI ARABIA CONTRACTING COMPANY,"INR 3,51,585","INR 351,585",Closed,HARDIKA,E1: Export,-No Value-
IV/EXP23-24/0126,30-10-2023,SO/EXP23-24/0083,INTERMAK GROUP LLC,"INR 91,58,272","INR 9,158,272",Closed,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0127,10-11-2023,SO/EXP23-24/0095,MAKHAVI ARABIA CONTRACTING COMPANY,"INR 9,89,560","INR 989,560",Closed,HARDIKA,E1: Export,-No Value-
IV/EXP23-24/0128,10-11-2023,SO/EXP23-24/0083,INTERMAK GROUP LLC,"INR 91,68,959","INR 9,168,959",Closed,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0129,10-11-2023,SO/EXP23-24/0101,MAKHAVI ARABIA CONTRACTING COMPANY,"INR 38,46,794","INR 3,846,794",Overdue,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0130,10-11-2023,SO/EXP23-24/0094,RITCHIE BROS. AUCTIONEERS DE MEXICO S. DE R.L. DE C.V.,"INR 1,02,38,056","INR 10,238,056",Overdue,HARDIKA,E1: Export,-No Value-
IV/EXP23-24/0131,11-11-2023,SO/EXP23-24/0100,INTERMAK GROUP LLC,"INR 73,297","INR 73,297",Closed,HARDIKA,E1: Export,-No Value-
IV/EXP23-24/0132,27-11-2023,SO/EXP23-24/0099,INTERMAK GROUP LLC,"INR 1,02,57,693","INR 10,257,693",Closed,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0133,27-11-2023,SO/EXP23-24/0104,SAMA EXIM DMCC,"INR 3,02,434","INR 302,434",Closed,Hardika  Chindarkar,E1: Export,-No Value-
IV/EXP23-24/0134,27-11-2023,SO/EXP23-24/0104,SAMA EXIM DMCC,"INR 36,740","INR 36,740",Closed,Hardika  Chindarkar,E1: Export,-No Value-
IV/EXP23-24/0135,30-11-2023,SO/EXP23-24/0092,SK RENTAL SOLUTIONS LTD,"INR 4,64,161","INR 464,161",Closed,HARDIKA,E1: Export,-No Value-
IV/EXP23-24/0136,30-11-2023,SO/EXP23-24/0106,RITCHIE BROS. AUCTIONEERS DE MEXICO S. DE R.L. DE C.V.,"INR 27,51,146","INR 2,751,146",Overdue,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0137,30-11-2023,SO/EXP23-24/0106,RITCHIE BROS. AUCTIONEERS DE MEXICO S. DE R.L. DE C.V.,"INR 30,84,619","INR 3,084,619",Overdue,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0138,30-11-2023,SO/EXP23-24/0107,ETP DIB ZIDANE,"INR 68,73,127","INR 6,873,127",Overdue,Vatsal Raghwani,E1: Export,-No Value-
IV/EXP23-24/0139,30-11-2023,SO/EXP23-24/0108,ETP Boudebane Mourad,"INR 75,06,830","INR 7,506,830",Overdue,Vatsal Raghwani,E1: Export,-No Value-
IV/EXP23-24/0140,04-12-2023,SO/EXP23-24/0109,INTERMAK GROUP LLC,"INR 26,68,001","INR 2,668,001",Closed,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0141,05-12-2023,SO/EXP23-24/0112,MAKHAVI ARABIA CONTRACTING COMPANY,"INR 27,02,876","INR 2,702,876",Overdue,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0142,11-12-2023,SO/EXP23-24/0112,MAKHAVI ARABIA CONTRACTING COMPANY,"INR 27,77,181","INR 2,777,181",Overdue,Pawan Arya,E1: Export,-No Value-
IV/EXP23-24/0143,27-12-2023,SO/EXP23-24/0111,INTERMAK GROUP LLC,"INR 1,03,51,637","INR 10,351,637",Overdue,Vatsal Raghwani,E1: Export,-No Value-
IV/EXP23-24/0144,31-12-2023,SO/EXP23-24/0118,ETPBH BOUCHEBOURA ABD ELMOUNAIM,"INR 68,82,490","INR 6,882,490",Overdue,Huzma Jamal,E1: Export,-No Value-
IV/EXP23-24/0145,31-12-2023,SO/EXP23-24/0116,Unitexnika LLC,"INR 1,03,38,715","INR 10,338,715",Closed,Vatsal Raghwani,E1: Export,-No Value-
IV/EXP23-24/0146,31-12-2023,SO/EXP23-24/0114,INTERMAK GROUP LLC,"INR 26,98,652","INR 2,698,652",Overdue,Vatsal Raghwani,E1: Export,-No Value-
IV/MUB23-24/0257,03-10-2023,SO/MUB2324/0339,ASHOKA BUILDCON LIMITED -Karnataka,"INR 19,756","INR 23,312",Overdue,Sonal,A1: Corporate,Hydraulic Assembly
IV/MUB23-24/0258,03-10-2023,SO/MUB2324/0347,ASHOKA BUILDCON LIMITED -Karnataka,"INR 2,904","INR 3,427",Closed,Sonal,A1: Corporate,Hydraulic Assembly
IV/MUB23-24/0259,05-10-2023,SO/MUB2324/0346,Rangeela Exports,"INR 18,215","INR 18,233",Closed,Vatsal Raghwani,C3: Retailer,Undercarriage
IV/MUB23-24/0260,06-10-2023,SO/MUB2324/0369,DECARCH INFOTECH LLP,"INR 69,674","INR 82,216",Closed,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0261,11-10-2023,SO/MUB2324/0346,Rangeela Exports,"INR 1,85,936","INR 186,122",Closed,Vatsal Raghwani,C3: Retailer,Undercarriage
IV/MUB23-24/0262,11-10-2023,SO/MUB2324/0392,Suyaan Infrastructure pvt ltd,"INR 37,450","INR 44,191",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0263,16-10-2023,SO/MUB2324/0360,DECARCH INFOTECH LLP,"INR 17,619","INR 20,791",Closed,Sonal,A1: Corporate,Others
IV/MUB23-24/0264,16-10-2023,SO/MUB2324/0400,DECARCH INFOTECH LLP,"INR 3,291","INR 3,884",Closed,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0265,16-10-2023,SO/MUB2324/0393,DECARCH INFOTECH LLP,"INR 1,467","INR 1,731",Closed,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0266,16-10-2023,SO/MUB2324/0410,Yantralive Parts Technology Private Limited-BLR,"INR 3,55,000","INR 418,900",Closed,HEMANTH,D1: Retail (Individual Owners),-No Value-
IV/MUB23-24/0267,18-10-2023,SO/MUB2324/0409,PRISM JOHNSON LIMITED.,"INR 22,932","INR 27,060",Overdue,Jagan,A1: Corporate,-No Value-
IV/MUB23-24/0268,18-10-2023,SO/MUB2324/0398,DECARCH INFOTECH LLP,"INR 76,805","INR 90,630",Closed,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0269,19-10-2023,SO/MUB2324/0418,VARDAN STONE & MINES PRIVATE LIMITED,"INR 3,80,000","INR 448,400",Closed,Aniket,-No Value-,-No Value-
IV/MUB23-24/0270,20-10-2023,SO/MUB2324/0403,DECARCH INFOTECH LLP,"INR 15,749","INR 18,584",Closed,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0271,27-10-2023,SO/MUB2324/0433,OM SAI HYDRAULICS Ahmednagar,"INR 21,812","INR 25,739",Closed,Sidheshwar Chaugule,C1: TCP,-No Value-
IV/MUB23-24/0272,28-10-2023,SO/MUB2324/0412,DECARCH INFOTECH LLP,"INR 1,35,529","INR 159,925",Closed,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0273,28-10-2023,SO/MUB2324/0411,DECARCH INFOTECH LLP,"INR 97,647","INR 115,224",Closed,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0274,28-10-2023,SO/MUB2324/0414,DECARCH INFOTECH LLP,"INR 66,706","INR 78,713",Closed,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0275,28-10-2023,SO/MUB2324/0413,DECARCH INFOTECH LLP,"INR 66,706","INR 78,713",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0276,31-10-2023,SO/MUB2324/0427,DECARCH INFOTECH LLP,"INR 2,888","INR 3,409",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0277,31-10-2023,SO/MUB2324/0460,BALAJI INDUSTRIES,"INR 21,000","INR 24,780",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0278,31-10-2023,SO/MUB2324/0408,MOHAN MUTHA EXPORTS PVT LTD,"INR 1,58,110","INR 186,570",Overdue,Aniket,C1: TCP,-No Value-
IV/MUB23-24/0279,31-10-2023,SO/MUB2324/0471,DECARCH INFOTECH LLP,"INR 30,25,816","INR 3,570,463",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0280,31-10-2023,SO/MUB2324/0429,DECARCH INFOTECH LLP,"INR 21,690","INR 25,595",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0281,31-10-2023,SO/MUB2324/0431,DECARCH INFOTECH LLP,"INR 10,691","INR 12,616",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0282,31-10-2023,SO/MUB2324/0428,DECARCH INFOTECH LLP,"INR 1,453","INR 1,715",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0283,31-10-2023,SO/MUB2324/0415,DECARCH INFOTECH LLP,"INR 10,300","INR 12,155",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0284,31-10-2023,SO/MUB2324/0446,DECARCH INFOTECH LLP,"INR 2,888","INR 3,409",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0285,06-11-2023,SO/MUB2324/0441,DECARCH INFOTECH LLP,"INR 9,234","INR 10,896",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0286,06-11-2023,SO/MUB2324/0430,DECARCH INFOTECH LLP,"INR 9,791","INR 11,553",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0287,07-11-2023,SO/MUB2324/0302,M/S FR SOLUTIONS PRIVATE LIMITED,"INR 20,55,084","INR 2,425,000",Closed,Sonal,A1: Corporate,Hydraulic Assembly
IV/MUB23-24/0288,07-11-2023,SO/MUB2324/0486,BALAJI INDUSTRIES,"INR 30,000","INR 35,400",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0289,07-11-2023,SO/MUB2324/0485,BALAJI INDUSTRIES,"INR 1,00,000","INR 118,000",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0290,08-11-2023,SO/MUB2324/0441,DECARCH INFOTECH LLP,"INR 11,267","INR 13,296",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0291,08-11-2023,SO/MUB2324/0455,DECARCH INFOTECH LLP,"INR 10,235","INR 12,078",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0292,08-11-2023,SO/MUB2324/0404,DECARCH INFOTECH LLP,"INR 49,188","INR 58,043",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0293,08-11-2023,SO/MUB2324/0405,DECARCH INFOTECH LLP,"INR 49,141","INR 57,987",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0294,08-11-2023,SO/MUB2324/0406,DECARCH INFOTECH LLP,"INR 56,471","INR 66,636",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0295,08-11-2023,SO/MUB2324/0397,DECARCH INFOTECH LLP,"INR 56,706","INR 66,913",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0296,08-11-2023,SO/MUB2324/0443,DECARCH INFOTECH LLP,"INR 9,234","INR 10,896",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0297,09-11-2023,SO/MUB2324/0497,Suyaan Infrastructure pvt ltd,"INR 25,400","INR 29,972",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0298,10-11-2023,SO/MUB2324/0491,DECARCH INFOTECH LLP,"INR 24,569","INR 28,992",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0299,10-11-2023,SO/MUB2324/0454,DECARCH INFOTECH LLP,"INR 18,913","INR 22,317",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0300,10-11-2023,SO/MUB2324/0450,DECARCH INFOTECH LLP,"INR 18,913","INR 22,317",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0301,10-11-2023,SO/MUB2324/0428,DECARCH INFOTECH LLP,"INR 3,285","INR 3,876",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0302,10-11-2023,SO/MUB2324/0492,DECARCH INFOTECH LLP,"INR 18,913","INR 22,317",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0303,10-11-2023,SO/MUB2324/0442,DECARCH INFOTECH LLP,"INR 4,738","INR 5,591",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0304,10-11-2023,SO/MUB2324/0420,DECARCH INFOTECH LLP,"INR 1,24,643","INR 147,079",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0305,11-11-2023,SO/MUB2324/0498,Shiv Hydraulics,"INR 66,944","INR 78,994",Overdue,Shreetej Tirodkar,C1: TCP,-No Value-
IV/MUB23-24/0307,11-11-2023,SO/MUB2324/0465,DECARCH INFOTECH LLP,"INR 1,24,643","INR 147,078",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0308,15-11-2023,SO/MUB2324/0502,Yantralive Parts Technology Private Limited-BLR,"INR 90,683","INR 107,006",Closed,Sanjesh Praskash,D1: Retail (Individual Owners),-No Value-
IV/MUB23-24/0309,15-11-2023,SO/MUB2324/0503,Yantralive Parts Technology Private Limited-BLR,"INR 16,000","INR 18,880",Closed,HEMANTH,D1: Retail (Individual Owners),-No Value-
IV/MUB23-24/0310,16-11-2023,SO/MUB2324/0494,JAMIR S. SHAIKH,"INR 10,910","INR 12,874",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0311,16-11-2023,SO/MUB2324/0429,DECARCH INFOTECH LLP,"INR 3,059","INR 3,610",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0312,16-11-2023,SO/MUB2324/0447,DECARCH INFOTECH LLP,"INR 1,153","INR 1,361",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0313,16-11-2023,SO/MUB2324/0439,DECARCH INFOTECH LLP,"INR 2,888","INR 3,409",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0314,16-11-2023,SO/MUB2324/0440,DECARCH INFOTECH LLP,"INR 14,462","INR 17,065",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0315,16-11-2023,SO/MUB2324/0448,DECARCH INFOTECH LLP,"INR 15,201","INR 17,937",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0316,16-11-2023,SO/MUB2324/0438,DECARCH INFOTECH LLP,"INR 6,125","INR 7,228",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0317,16-11-2023,SO/MUB2324/0444,DECARCH INFOTECH LLP,"INR 12,791","INR 15,094",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0318,16-11-2023,SO/MUB2324/0492,DECARCH INFOTECH LLP,"INR 1,588","INR 1,875",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0319,16-11-2023,SO/MUB2324/0443,DECARCH INFOTECH LLP,"INR 16,444","INR 19,404",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0320,16-11-2023,SO/MUB2324/0454,DECARCH INFOTECH LLP,"INR 6,294","INR 7,428",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0321,16-11-2023,SO/MUB2324/0450,DECARCH INFOTECH LLP,"INR 6,294","INR 7,428",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0322,17-11-2023,SO/MUB2324/0501,DECARCH INFOTECH LLP,"INR 5,750","INR 6,786",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0323,17-11-2023,SO/MUB2324/0453,DECARCH INFOTECH LLP,"INR 72,606","INR 85,675",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0324,17-11-2023,SO/MUB2324/0499,DECARCH INFOTECH LLP,"INR 1,250","INR 1,475",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0325,17-11-2023,SO/MUB2324/0500,DECARCH INFOTECH LLP,"INR 1,250","INR 1,475",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0326,17-11-2023,SO/MUB2324/0490,DECARCH INFOTECH LLP,"INR 4,571","INR 5,394",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0327,21-11-2023,SO/MUB2324/0504,Om Sai Hydraulics,"INR 3,95,000","INR 466,100",Overdue,Pavitra,C1: TCP,-No Value-
IV/MUB23-24/0328,23-11-2023,SO/MUB2324/0509,LYNX GREEEN VENTURES,"INR 19,291","INR 22,764",Closed,Shreetej Tirodkar,D1: Retail (Individual Owners),-No Value-
IV/MUB23-24/0329,24-11-2023,SO/MUB2324/0508,ADHIRAJ SERVICES,"INR 12,979","INR 15,316",Closed,Nitin,C1: TCP,-No Value-
IV/MUB23-24/0330,24-11-2023,SO/MUB2324/0495,DECARCH INFOTECH LLP,"INR 72,235","INR 92,462",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0331,24-11-2023,SO/MUB2324/0493,DECARCH INFOTECH LLP,"INR 4,962","INR 5,855",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0332,24-11-2023,SO/MUB2324/0489,DECARCH INFOTECH LLP,"INR 2,888","INR 3,409",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0333,27-11-2023,SO/MUB2324/0511,Shivneri Hydraulics Manchar,"INR 4,97,000","INR 586,460",Closed,Shreetej Tirodkar,C1: TCP,-No Value-
IV/MUB23-24/0334,27-11-2023,SO/MUB2324/0445,DECARCH INFOTECH LLP,"INR 2,888","INR 3,409",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0335,27-11-2023,SO/MUB2324/0488,DECARCH INFOTECH LLP,"INR 9,067","INR 10,700",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0336,27-11-2023,SO/MUB2324/0459,DECARCH INFOTECH LLP,"INR 4,738","INR 5,591",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0337,28-11-2023,SO/MUB2324/0462,DECARCH INFOTECH LLP,"INR 24,569","INR 28,992",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0338,28-11-2023,SO/MUB2324/0463,DECARCH INFOTECH LLP,"INR 24,569","INR 28,992",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0339,28-11-2023,SO/MUB2324/0458,DECARCH INFOTECH LLP,"INR 24,569","INR 28,992",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0340,28-11-2023,SO/MUB2324/0512,DECARCH INFOTECH LLP,"INR 1,770","INR 2,089",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0341,28-11-2023,SO/MUB2324/0513,DECARCH INFOTECH LLP,"INR 1,770","INR 2,089",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0342,28-11-2023,SO/MUB2324/0461,DECARCH INFOTECH LLP,"INR 24,569","INR 28,992",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0343,29-11-2023,SO/MUB2324/0430,DECARCH INFOTECH LLP,"INR 50,087","INR 59,104",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0344,29-11-2023,SO/MUB2324/0441,DECARCH INFOTECH LLP,"INR 39,377","INR 46,466",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0345,29-11-2023,SO/MUB2324/0525,ADMIRIA TRADING,"INR 7,450","INR 7,458",Overdue,HARDIKA,E1: Export,-No Value-
IV/MUB23-24/0346,30-11-2023,SO/MUB2324/0443,DECARCH INFOTECH LLP,"INR 34,671","INR 40,913",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0347,30-11-2023,SO/MUB2324/0450,DECARCH INFOTECH LLP,"INR 26,436","INR 31,195",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0348,30-11-2023,SO/MUB2324/0454,DECARCH INFOTECH LLP,"INR 34,671","INR 40,913",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0349,30-11-2023,SO/MUB2324/0456,DECARCH INFOTECH LLP,"INR 38,029","INR 44,874",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0350,30-11-2023,SO/MUB2324/0488,DECARCH INFOTECH LLP,"INR 26,844","INR 31,676",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0351,30-11-2023,SO/MUB2324/0487,DECARCH INFOTECH LLP,"INR 3,665","INR 4,325",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0352,30-11-2023,SO/MUB2324/0532,BALAJI INDUSTRIES,"INR 5,75,000","INR 678,500",Closed,Pavitra,C1: TCP,-No Value-
IV/MUB23-24/0353,30-11-2023,SO/MUB2324/0455,DECARCH INFOTECH LLP,"INR 16,729","INR 19,741",Overdue,Aniket,A1: Corporate,-No Value-
IV/MUB23-24/0354,30-11-2023,SO/MUB2324/0510,GURUKRUPA ENTERPRISES,"INR 5,85,000","INR 690,300",Overdue,Pavitra,-No Value-,-No Value-
IV/MUB23-24/0355,30-11-2023,SO/MUB2324/0223,Shapoorji Pallonji & Co Pvt Ltd,"INR 25,180","INR 29,713",Overdue,Sonal,B1: Zonal Corporate,Filters
